y	st	lat	lon	col	prod	pob	area					
1989	SD	44.47313333	-100.0231111	230	11270	696004	19973.1					
1989	TN	35.85901389	-86.47430556	25	625	4877185	10915.1					
1989	TX	31.58439444	-99.21844444	134	7504	16986510	69562.1					
1989	UT	39.44435556	-111.061	43	1892	1722850	21988.7					
1989	VT	44.15561667	-72.06024167	6	366	562758	2490.1					
1989	VA	37.55003056	-78.783875	23	460	6187358	11078.5					
1989	WA	47.41219444	-120.0288611	66	3036	4866692	18466.5					
1989	WV	38.72501944	-80.54168611	32	1408	1793477	6275.5					
1989	WI	44.59897778	-89.68231111	101	7474	4891769	16963.9					
1989	WY	43.07391389	-107.56	40	1880	453588	25333.6					
1990	AL	32.46189917	-86.79523056	29	1102	4048526	13576.5					
1990	AZ	34.20952778	-111.0595278	67	3216	3679056	28635.1					
1990	ARK	34.41672972	-92.45006306	31	2325	2354343	13773.2					
1990	CAL	37.75058917	-120.0505889	480	20160	29950111	42397					
1990	COLO	38.96655833	-105.0998889	55	3520	3303862	26960.1					
1990	FLA	28.83524083	-81.91857417	220	20900	13018365	17030.4					
1990	GA	32.67768111	-83.52768056	111	5550	6506531	14999.8					
1990	HAW	19.51250278	-155.0625	10	1570	1112703	2831.1					
1990	ID	39.93660444	-86.21993611	140	5600	1011882	216.446					
1990	ILL	40.07544444	-89.30877778	19	760	11446979	14999.8					
1990	IND	39.86693611	-86.14471389	22	1034	5555097	94.321					
1990	IOWA	41.93358056	-93.48358056	70	3780	2779769	14574.3					
1990	KS	38.43878889	-98.40545556	36	2412	2480683	21309.6					
1990	KY	37.43447222	-85.09002778	8	352	3692584	10465.9					
1990	LA	31.39494444	-92.51678611	38	3382	4219179	13426.4					
1990	ME	45.45910278	-69.22576944	18	432	1231719	91.646					
1990	MI	44.34451944	-84.69451944	15	195	9310462	25049.4					
1990	MN	46.37010556	-94.67010556	170	12580	4387283	22517.1					
1990	MS	32.77700556	-89.66033889	24	1488	2577426	12543.4					
1990	MO	38.43345278	-92.51678611	30	1890	5126370	18053.3					
1990	MT	47.19634167	-109.0463333	95	7695	799824	38083.8					
1990	NE	41.36925833	-99.635925	118	6608	1580664	20034.5					
1990	NJ	40.21587222	-74.49920556	15	315	7757158	2258.8					
1990	NY	43.17661667	-75.50995	81	4374	18002855	14129.9					
1990	NC	35.64380278	-79.37713611	20	1000	6656987	13938.9					
1990	ND	47.43108889	-100.0527222	210	17220	637364	18311.2					
1990	OH	40.29351111	-82.82684444	40	2040	10861837	11609.6					
1990	OR	43.87287222	-120.0895278	61	2562	2858547	25480.5					
1990	PA	40.82463056	-77.64129722	41	1148	11895604	119.283					
1990	SD	44.47313333	-100.0231111	245	19845	696667	19973.1					
1990	TN	35.85901389	-86.47430556	19	627	4890626	10915.1					
1990	TX	31.58439444	-99.21844444	140	9380	17044714	69562.1					
1990	UT	39.44435556	-111.061	47	1739	1729722	21988.7					
1990	VT	44.15561667	-72.06024167	6	390	564526	2490.1					
1990	VA	37.55003056	-78.783875	16	544	6213526	11078.5					
1990	WA	47.41219444	-120.0288611	80	4400	4900780	18466.5					
1990	WV	38.72501944	-80.54168611	30	900	1792481	6275.5					
1990	WI	44.59897778	-89.68231111	112	8400	4902265	16963.9					
1990	WY	43.07391389	-107.56	40	2280	453401	25333.6					
1991	AL	32.46189917	-86.79523056	20	500	4091397	13576.5					
1991	AZ	34.20952778	-111.0595278	75	3750	3762394	28635.1					
1991	ARK	34.41672972	-92.45006306	47	3713	2370666	13773.2					
1991	CAL	37.75058917	-120.0505889	520	32760	30414114	42397					
1991	COLO	38.96655833	-105.0998889	50	3950	3367567	26960.1					
1991	FLA	28.83524083	-81.91857417	225	18675	13289497	17030.4					
1991	GA	32.67768111	-83.52768056	102	4282	6621279	14999.8					
1991	HAW	19.51250278	-155.0625	10	1310	1131412	2831.1					
1991	ID	39.93660444	-86.21993611	140	6440	1038915	216.446					
1991	ILL	40.07544444	-89.30877778	21	1092	11535973	14999.8					
1991	IND	39.86693611	-86.14471389	21	1050	5602062	94.321					
1991	IOWA	41.93358056	-93.48358056	92	5152	2791227	14574.3					
1991	KS	38.43878889	-98.40545556	35	1820	2495209	21309.6					
1991	KY	37.43447222	-85.09002778	7	175	3714686	10465.9					
1991	LA	31.39494444	-92.51678611	40	2800	4240950	13426.4					
1991	ME	45.45910278	-69.22576944	13	546	1237081	91.646					
1991	MI	44.34451944	-84.69451944	105	7665	9395022	25049.4					
1991	MN	46.37010556	-94.67010556	180	16380	4427429	22517.1					
1991	MS	32.77700556	-89.66033889	28	1008	2591230	12543.4					
1991	MO	38.43345278	-92.51678611	28	1820	5157770	18053.3					
1991	MT	47.19634167	-109.0463333	86	7912	807837	38083.8					
1991	NE	41.36925833	-99.635925	108	7236	1590805	20034.5					
1991	NJ	40.21587222	-74.49920556	11	341	7784269	2258.8					
1991	NY	43.17661667	-75.50995	77	4774	18029532	14129.9					
1991	NC	35.64380278	-79.37713611	18	1044	6748135	13938.9					
1991	ND	47.43108889	-100.0527222	215	22145	634199	18311.2					
1991	OH	40.29351111	-82.82684444	48	2928	10933683	11609.6					
1991	OR	43.87287222	-120.0895278	56	2576	2918745	25480.5					
1991	PA	40.82463056	-77.64129722	40	1800	11943160	119.283					
1991	SD	44.47313333	-100.0231111	225	22725	701445	19973.1					
1991	TN	35.85901389	-86.47430556	14	532	4946886	10915.1					
1991	TX	31.58439444	-99.21844444	140	10920	17339904	69562.1					
1991	UT	39.44435556	-111.061	45	1530	1771941	21988.7					
1991	VT	44.15561667	-72.06024167	6	450	567141	2490.1					
1991	VA	37.55003056	-78.783875	16	528	6283853	11078.5					
1991	WA	47.41219444	-120.0288611	85	3570	5013443	18466.5					
1991	WV	38.72501944	-80.54168611	26	624	1798212	6275.5					
1991	WI	44.59897778	-89.68231111	110	7370	4952675	16963.9					
1991	WY	43.07391389	-107.56	41	2132	457739	25333.6					
1992	AL	32.46189917	-86.79523056	25	1025	4139880	13576.5					
1992	AZ	34.20952778	-111.0595278	70	3780	3867333	28635.1					
1992	ARK	34.41672972	-92.45006306	45	2925	2394098	13773.2					
1992	CAL	37.75058917	-120.0505889	470	31490	30875920	42397					
1992	COLO	38.96655833	-105.0998889	52	3848	3459995	26960.1					
1992	FLA	28.83524083	-81.91857417	220	22880	13504775	17030.4					
1992	GA	32.67768111	-83.52768056	85	4675	6759474	14999.8					
1992	HAW	19.51250278	-155.0625	9	1242	1149926	2831.1					
1992	ID	39.93660444	-86.21993611	135	6885	1066490	216.446					
1992	ILL	40.07544444	-89.30877778	16	848	11635197	14999.8					
1992	IND	39.86693611	-86.14471389	15	465	5648649	94.321					
